hrsrelax,mntlhlth,hrs1,degree,grass
,,,LT HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,2.0,50.0,BACHELOR,
8.0,25.0,16.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,1.0,30.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
2.0,0.0,62.0,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,
8.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
0.0,0.0,40.0,GRADUATE,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
9.0,0.0,45.0,HIGH SCHOOL,LEGAL
4.0,30.0,40.0,LT HIGH SCHOOL,
3.0,30.0,40.0,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,LEGAL
4.0,0.0,38.0,BACHELOR,NOT LEGAL
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4.0,5.0,40.0,BACHELOR,
,,,GRADUATE,NOT LEGAL
,,9.0,BACHELOR,NOT LEGAL
2.0,4.0,50.0,BACHELOR,LEGAL
,,,BACHELOR,
4.0,0.0,20.0,GRADUATE,NOT LEGAL
6.0,0.0,40.0,BACHELOR,LEGAL
2.0,2.0,45.0,GRADUATE,NOT LEGAL
4.0,25.0,10.0,GRADUATE,LEGAL
,,,GRADUATE,NOT LEGAL
2.0,1.0,60.0,GRADUATE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,37.0,JUNIOR COLLEGE,
2.0,5.0,52.0,JUNIOR COLLEGE,
2.0,0.0,37.0,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
1.0,0.0,50.0,BACHELOR,LEGAL
1.0,1.0,50.0,BACHELOR,LEGAL
8.0,0.0,40.0,HIGH SCHOOL,
3.0,3.0,27.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2.0,4.0,60.0,BACHELOR,NOT LEGAL
3.0,2.0,70.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
5.0,0.0,40.0,BACHELOR,LEGAL
4.0,10.0,50.0,GRADUATE,
4.0,0.0,45.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
6.0,0.0,35.0,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
4.0,30.0,40.0,HIGH SCHOOL,LEGAL
2.0,3.0,37.0,BACHELOR,LEGAL
3.0,0.0,55.0,GRADUATE,
5.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
4.0,4.0,52.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,0.0,16.0,BACHELOR,
,,,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
,,,BACHELOR,
,,,BACHELOR,NOT LEGAL
3.0,0.0,52.0,BACHELOR,LEGAL
,,50.0,HIGH SCHOOL,
2.0,5.0,60.0,BACHELOR,NOT LEGAL
2.0,10.0,60.0,HIGH SCHOOL,
4.0,12.0,40.0,BACHELOR,NOT LEGAL
20.0,0.0,35.0,BACHELOR,NOT LEGAL
4.0,0.0,8.0,GRADUATE,
5.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,
3.0,0.0,60.0,HIGH SCHOOL,LEGAL
5.0,0.0,60.0,BACHELOR,LEGAL
2.0,5.0,50.0,BACHELOR,
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,50.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
2.0,0.0,65.0,BACHELOR,NOT LEGAL
2.0,5.0,50.0,GRADUATE,
1.0,1.0,60.0,JUNIOR COLLEGE,NOT LEGAL
,,,GRADUATE,LEGAL
4.0,2.0,40.0,JUNIOR COLLEGE,NOT LEGAL
,,,BACHELOR,NOT LEGAL
6.0,0.0,43.0,BACHELOR,LEGAL
,,,GRADUATE,NOT LEGAL
5.0,0.0,1.0,JUNIOR COLLEGE,
3.0,1.0,45.0,BACHELOR,NOT LEGAL
10.0,7.0,20.0,HIGH SCHOOL,
6.0,0.0,36.0,BACHELOR,NOT LEGAL
3.0,0.0,40.0,GRADUATE,
6.0,0.0,42.0,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
4.0,10.0,40.0,BACHELOR,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
5.0,0.0,35.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
7.0,10.0,42.0,HIGH SCHOOL,NOT LEGAL
0.0,0.0,70.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4.0,0.0,50.0,HIGH SCHOOL,LEGAL
3.0,1.0,40.0,GRADUATE,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,5.0,40.0,GRADUATE,
,,,HIGH SCHOOL,
2.0,0.0,35.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
3.0,3.0,16.0,HIGH SCHOOL,
4.0,0.0,20.0,GRADUATE,NOT LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
1.0,14.0,36.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1.0,20.0,40.0,HIGH SCHOOL,LEGAL
5.0,0.0,26.0,LT HIGH SCHOOL,
5.0,5.0,40.0,BACHELOR,NOT LEGAL
0.0,3.0,27.0,LT HIGH SCHOOL,
2.0,20.0,30.0,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,LEGAL
1.0,0.0,56.0,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,LEGAL
3.0,0.0,30.0,LT HIGH SCHOOL,
4.0,0.0,48.0,LT HIGH SCHOOL,LEGAL
3.0,0.0,38.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
16.0,0.0,40.0,HIGH SCHOOL,
0.0,15.0,80.0,JUNIOR COLLEGE,NOT LEGAL
2.0,2.0,50.0,LT HIGH SCHOOL,NOT LEGAL
1.0,30.0,50.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
3.0,2.0,35.0,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
12.0,0.0,42.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
9.0,3.0,28.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
8.0,7.0,40.0,HIGH SCHOOL,
4.0,2.0,40.0,BACHELOR,
4.0,7.0,42.0,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
3.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
6.0,0.0,22.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,
6.0,25.0,40.0,HIGH SCHOOL,
2.0,0.0,9.0,BACHELOR,LEGAL
0.0,0.0,40.0,HIGH SCHOOL,
1.0,3.0,38.0,BACHELOR,
2.0,7.0,50.0,LT HIGH SCHOOL,NOT LEGAL
4.0,30.0,25.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
0.0,0.0,32.0,LT HIGH SCHOOL,LEGAL
0.0,0.0,60.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,40.0,GRADUATE,
,,,JUNIOR COLLEGE,NOT LEGAL
0.0,0.0,7.0,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
6.0,4.0,25.0,HIGH SCHOOL,
3.0,0.0,45.0,HIGH SCHOOL,LEGAL
1.0,2.0,45.0,HIGH SCHOOL,LEGAL
2.0,0.0,65.0,GRADUATE,
6.0,0.0,40.0,HIGH SCHOOL,
3.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
5.0,0.0,45.0,HIGH SCHOOL,
4.0,0.0,40.0,JUNIOR COLLEGE,LEGAL
6.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,43.0,HIGH SCHOOL,
2.0,0.0,52.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
6.0,0.0,30.0,LT HIGH SCHOOL,
,0.0,40.0,HIGH SCHOOL,LEGAL
3.0,0.0,28.0,HIGH SCHOOL,
1.0,3.0,40.0,HIGH SCHOOL,
4.0,0.0,44.0,HIGH SCHOOL,LEGAL
1.0,14.0,74.0,HIGH SCHOOL,
1.0,10.0,50.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3.0,0.0,35.0,HIGH SCHOOL,LEGAL
2.0,0.0,32.0,JUNIOR COLLEGE,LEGAL
,,,BACHELOR,LEGAL
4.0,0.0,40.0,BACHELOR,NOT LEGAL
2.0,15.0,57.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,LEGAL
4.0,4.0,50.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
4.0,0.0,35.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,60.0,JUNIOR COLLEGE,LEGAL
2.0,2.0,40.0,HIGH SCHOOL,NOT LEGAL
1.0,4.0,50.0,HIGH SCHOOL,NOT LEGAL
2.0,2.0,32.0,BACHELOR,
2.0,0.0,15.0,HIGH SCHOOL,LEGAL
5.0,0.0,9.0,HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,
4.0,0.0,8.0,LT HIGH SCHOOL,
4.0,2.0,20.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
6.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
2.0,30.0,50.0,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,0.0,48.0,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,70.0,HIGH SCHOOL,NOT LEGAL
12.0,0.0,44.0,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
1.0,0.0,55.0,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
2.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4.0,0.0,42.0,HIGH SCHOOL,
7.0,3.0,30.0,HIGH SCHOOL,NOT LEGAL
7.0,0.0,20.0,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
6.0,0.0,40.0,HIGH SCHOOL,LEGAL
6.0,1.0,56.0,BACHELOR,LEGAL
8.0,0.0,39.0,HIGH SCHOOL,LEGAL
3.0,0.0,72.0,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
4.0,4.0,50.0,BACHELOR,LEGAL
1.0,15.0,40.0,GRADUATE,LEGAL
,,,HIGH SCHOOL,LEGAL
6.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
2.0,1.0,28.0,BACHELOR,
5.0,0.0,50.0,GRADUATE,
,,,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1.0,0.0,35.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,BACHELOR,LEGAL
1.0,5.0,48.0,BACHELOR,LEGAL
5.0,0.0,60.0,HIGH SCHOOL,
1.0,7.0,36.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
4.0,0.0,45.0,HIGH SCHOOL,
1.0,27.0,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
4.0,1.0,20.0,HIGH SCHOOL,
1.0,5.0,85.0,GRADUATE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
6.0,0.0,20.0,HIGH SCHOOL,
4.0,0.0,40.0,BACHELOR,NOT LEGAL
,,,JUNIOR COLLEGE,
2.0,0.0,9.0,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
0.0,0.0,10.0,HIGH SCHOOL,LEGAL
0.0,0.0,46.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
2.0,15.0,40.0,HIGH SCHOOL,LEGAL
12.0,0.0,15.0,GRADUATE,
3.0,2.0,42.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,30.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
5.0,5.0,30.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4.0,0.0,45.0,BACHELOR,LEGAL
5.0,0.0,9.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2.0,5.0,40.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,2.0,HIGH SCHOOL,
6.0,10.0,25.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
2.0,4.0,89.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
2.0,20.0,52.0,HIGH SCHOOL,LEGAL
3.0,0.0,40.0,BACHELOR,
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
5.0,0.0,24.0,HIGH SCHOOL,NOT LEGAL
0.0,0.0,48.0,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,56.0,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
0.0,30.0,40.0,LT HIGH SCHOOL,NOT LEGAL
2.0,21.0,14.0,LT HIGH SCHOOL,LEGAL
2.0,30.0,35.0,HIGH SCHOOL,LEGAL
2.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
6.0,15.0,50.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
8.0,0.0,6.0,GRADUATE,NOT LEGAL
,,,BACHELOR,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
2.0,4.0,40.0,HIGH SCHOOL,
12.0,0.0,60.0,LT HIGH SCHOOL,LEGAL
0.0,0.0,32.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,
1.0,1.0,40.0,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,25.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
6.0,10.0,9.0,HIGH SCHOOL,LEGAL
,0.0,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
1.0,1.0,70.0,JUNIOR COLLEGE,
3.0,30.0,40.0,BACHELOR,
3.0,0.0,40.0,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
10.0,0.0,30.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,40.0,GRADUATE,
,,,BACHELOR,NOT LEGAL
5.0,4.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,NOT LEGAL
6.0,2.0,20.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
7.0,0.0,21.0,GRADUATE,
,,,BACHELOR,LEGAL
1.0,0.0,50.0,HIGH SCHOOL,LEGAL
1.0,0.0,50.0,BACHELOR,
2.0,0.0,40.0,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
6.0,5.0,41.0,GRADUATE,
,,,HIGH SCHOOL,
0.0,0.0,48.0,HIGH SCHOOL,LEGAL
2.0,0.0,60.0,GRADUATE,NOT LEGAL
4.0,7.0,40.0,BACHELOR,
5.0,0.0,50.0,BACHELOR,LEGAL
5.0,0.0,50.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,35.0,HIGH SCHOOL,
4.0,2.0,65.0,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
,,,JUNIOR COLLEGE,
5.0,4.0,42.0,BACHELOR,NOT LEGAL
1.0,2.0,44.0,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,LEGAL
3.0,0.0,43.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
6.0,15.0,50.0,HIGH SCHOOL,LEGAL
4.0,1.0,40.0,HIGH SCHOOL,
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
3.0,0.0,40.0,GRADUATE,
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
10.0,1.0,20.0,GRADUATE,NOT LEGAL
6.0,6.0,45.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,
2.0,0.0,43.0,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
1.0,20.0,45.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,10.0,50.0,HIGH SCHOOL,
10.0,0.0,10.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
2.0,8.0,20.0,HIGH SCHOOL,NOT LEGAL
6.0,10.0,8.0,HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
2.0,0.0,40.0,HIGH SCHOOL,LEGAL
1.0,0.0,42.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
3.0,1.0,55.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
5.0,0.0,40.0,LT HIGH SCHOOL,
5.0,0.0,50.0,BACHELOR,NOT LEGAL
0.0,0.0,40.0,GRADUATE,
1.0,5.0,40.0,GRADUATE,LEGAL
,,,BACHELOR,
3.0,4.0,45.0,GRADUATE,
4.0,5.0,60.0,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
0.0,11.0,89.0,HIGH SCHOOL,NOT LEGAL
2.0,25.0,60.0,BACHELOR,
1.0,0.0,50.0,GRADUATE,LEGAL
,,,HIGH SCHOOL,
5.0,30.0,40.0,HIGH SCHOOL,
,,,BACHELOR,LEGAL
5.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
3.0,5.0,40.0,HIGH SCHOOL,
5.0,5.0,45.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
1.0,0.0,44.0,BACHELOR,
2.0,0.0,89.0,BACHELOR,LEGAL
2.0,5.0,55.0,GRADUATE,LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,0.0,89.0,HIGH SCHOOL,LEGAL
2.0,4.0,40.0,HIGH SCHOOL,
3.0,10.0,40.0,JUNIOR COLLEGE,NOT LEGAL
3.0,5.0,32.0,JUNIOR COLLEGE,LEGAL
2.0,2.0,56.0,HIGH SCHOOL,
3.0,1.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
5.0,5.0,27.0,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
4.0,0.0,60.0,BACHELOR,
,,,GRADUATE,
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,NOT LEGAL
1.0,10.0,40.0,HIGH SCHOOL,NOT LEGAL
2.0,0.0,24.0,JUNIOR COLLEGE,
5.0,0.0,40.0,HIGH SCHOOL,
6.0,8.0,42.0,GRADUATE,
3.0,0.0,55.0,GRADUATE,LEGAL
6.0,15.0,38.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
1.0,1.0,52.0,BACHELOR,
2.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
9.0,0.0,50.0,HIGH SCHOOL,
1.0,20.0,35.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,9.0,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,5.0,50.0,HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
10.0,0.0,32.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,0.0,41.0,HIGH SCHOOL,LEGAL
5.0,0.0,52.0,HIGH SCHOOL,LEGAL
4.0,2.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,0.0,89.0,HIGH SCHOOL,
3.0,0.0,89.0,GRADUATE,NOT LEGAL
2.0,0.0,86.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
6.0,0.0,20.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
4.0,15.0,36.0,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
3.0,7.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
3.0,6.0,89.0,JUNIOR COLLEGE,NOT LEGAL
5.0,0.0,37.0,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
2.0,0.0,40.0,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
2.0,0.0,35.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
3.0,0.0,68.0,LT HIGH SCHOOL,
2.0,0.0,29.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,44.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
6.0,0.0,16.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
2.0,0.0,56.0,HIGH SCHOOL,
4.0,0.0,14.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,LEGAL
2.0,0.0,50.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,0.0,55.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
3.0,20.0,46.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
3.0,0.0,40.0,BACHELOR,NOT LEGAL
1.0,2.0,50.0,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
3.0,5.0,60.0,GRADUATE,LEGAL
3.0,0.0,40.0,BACHELOR,LEGAL
2.0,2.0,50.0,BACHELOR,
1.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
2.0,3.0,48.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
6.0,20.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5.0,15.0,40.0,JUNIOR COLLEGE,LEGAL
3.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
4.0,0.0,52.0,GRADUATE,
5.0,0.0,27.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3.0,0.0,40.0,GRADUATE,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
4.0,0.0,68.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,5.0,40.0,LT HIGH SCHOOL,NOT LEGAL
12.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,15.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4.0,14.0,4.0,LT HIGH SCHOOL,
3.0,0.0,46.0,JUNIOR COLLEGE,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
0.0,3.0,40.0,HIGH SCHOOL,NOT LEGAL
6.0,0.0,70.0,HIGH SCHOOL,NOT LEGAL
1.0,2.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
3.0,0.0,32.0,LT HIGH SCHOOL,NOT LEGAL
4.0,0.0,30.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
2.0,1.0,60.0,JUNIOR COLLEGE,
2.0,5.0,48.0,HIGH SCHOOL,NOT LEGAL
3.0,2.0,36.0,HIGH SCHOOL,NOT LEGAL
1.0,,82.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
6.0,0.0,32.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,1.0,67.0,LT HIGH SCHOOL,LEGAL
1.0,10.0,40.0,JUNIOR COLLEGE,NOT LEGAL
0.0,0.0,26.0,HIGH SCHOOL,
